DATABASE;Antibiotic.Class;GENE;ACCESSION;Standard.Gene.Name;Antibiotic.Gene.Family;Disinfecting.Agent;Metal.resistance;Mechanism
ARG-ANNOT;beta-lactam;(Bla)blaOXA-20;AF024602:1238-2038;"	OXA-20";OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-235;JQ820240:591-1421;OXA-235;OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-278;KC771279:1-831;"	OXA-278";OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-296;NG_049591:101-955;OXA-296;OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-347;JN086160:1583-2407;OXA-347;OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-58;AY665723:3301-4143;OXA-58;OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-61;AY587956:123-896;OXA-609;OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-85;AY227054:1-765;OXA-85;OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaPER-2;X93314:278-1204;"	PER-2";PER beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaPME-1;HQ541434:3071-4000;PME-1;PME beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaROB-1;AF022114:303-1220;"	ROB-1";ROB beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaTEM-105;AF516720:215-1075;TEM-105;TEM beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaTEM-150;AM183304:209-1069;TEM-150;TEM beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaTUS-1;AF441287:261-1007;TUS-1;TUS beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)CARB-5;AF135373:12-908;CARB-16;CARB beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)CARB-8_OU;AY178993:575-1471;CARB-8;CARB beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)cepA-29;U05884:556-1458;CepA-29;CepA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)cepA-49;U05886:404-1306;CepA-49;CepA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)cfiA13;FM200787:3-752;CfiA27;CfiA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)cfxA;U38243:150-1115;CfxA2;CfxA beta-lactamasectamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)cfxA2;AF504910:1-966;CfxA2;class A beta-la CfxA beta-lactamasectamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)cfxA6;GQ342996:798-1793;CfxA6;CfxA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)hugA;AF324468:221-2117;FO-2;FO beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)mecA1;NG_047950:20-2017;mecA;methicillin resistant PBP2;;;antibiotic target replacement
ARG-ANNOT;beta-lactam;(Bla)mecI;NG_047956:101-472;mecI;methicillin resistant PBP2;;;antibiotic target replacement
ARG-ANNOT;beta-lactam;(Bla)Penicillin_Binding_Protein_Ecoli;CP002291:664439-666340;PBP2;Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics;;;antibiotic target replacement
ARG-ANNOT;broad-spectrum efflux pump;(Flq)OqxA;EU370913:46652-47827;"	oqxA";resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;broad-spectrum efflux pump;(Flq)OqxBgb;EU370913:47851-51003;oqxB;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
ARG-ANNOT;fluoroquinolone;(Flq)qnr-S1;AB187515:9737-10393;QnrS1;quinolone resistance protein (qnr);;;antibiotic target protection
ARG-ANNOT;fluoroquinolone;(Flq)qnrB44;JQ349153:1-680;"	QnrB44";quinolone resistance protein (qnr);;;antibiotic target protection
ARG-ANNOT;fluoroquinolone;(Flq)qnrD;FJ228229:554-1198;QnrD1;quinolone resistant protein (qnr);;;antibiotic target protection
ARG-ANNOT;folic acid synthesis inhibitors ;(Sul)sul1;AF071413:6700-7539;sul1;sulfomide resistant sul;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Sul)sul2;EU360945:1617-2432;sul2;sulfomide resistant sul;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Sul)sul3;HQ875016:7396-8187;sul3;sulfomide resistant sul;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfr16;AF077008:115-558;dfrA16;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrA1;JQ794607:474;dfrA1;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrA12;Z21672:310-807;dfrA12;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrA14;GU726917:72-545;dfrA14;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrA17;AB126604:98-571;dfrA17;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrA20;AJ605332:1304-1813;dfrA20;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrA8;U10186:711-1220;dfrA8;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrD;Z50141:94-582;dfrD;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrF;NG_047755:101-595;dfrF;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrG;AB205645:1013-1510;dfrG;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;folic acid synthesis inhibitors ;(Tmt)dfrK;FM207105:2788-3279;dfrK;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
ARG-ANNOT;fusidic acid;(Fcd)fusD;NG_050585:101-742;"	fusD";Target protecting FusB-type protein conferring resistance to Fusidic acid;;;antibiotic target protection
ARG-ANNOT;fusidic acid;(Fcd)fusF;NG_047903:101-745;"	FusF";Target protecting FusB-type protein conferring resistance to Fusidic acid;;;antibiotic target protection
ARG-ANNOT;glycopeptide;(Gly)va-G;AY271782:157-606;va_in_vanG_cl;glycopeptide resistance gene cluster ;;;"	antibiotic target alteration"
ARG-ANNOT;glycopeptide;(Gly)vanA-G;AY271782:157-606;vanA_in_vanG_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
ARG-ANNOT;glycopeptide;(Gly)vanB;AY655710:1-1029;vanB;glycopeptide resistance gene cluster ;;;"	antibiotic target alteration"
ARG-ANNOT;glycopeptide;(Gly)vanH-B;AF192329:27871-28842;vanH_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
ARG-ANNOT;glycopeptide;(Gly)vanR-B;AY655721:69-728;vanR_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
ARG-ANNOT;glycopeptide;(Gly)vanS-B;AY655721:731-2074;vanS_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
ARG-ANNOT;glycopeptide;(Gly)VanU;NG_048466:101-328;vanU_in_vanG_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
ARG-ANNOT;glycopeptide;(Gly)vanW-B;AY655721:3069-3896;vanW_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
ARG-ANNOT;glycopeptide;(Gly)vanX-B;AY655721:5891-6499;vanX_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
ARG-ANNOT;glycopeptide;(Gly)vanY-B;AY655721:2245-3051;vanY_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)ere(D);NG_047771:101-1327;EreD;macrolide esterase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)erm(35);AF319779:33-833;Erm(35);Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(43);NG_047786:101-832;Erm(43);Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(45);NG_047788:101-838;"	Erm(45)";Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(47);NG_054944:101-841;Erm(47);Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(B);M11180:714-1451;ErmB;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(C);M19652:988-1722;ErmC;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(F);M14730:241-1041;"	ErmF";Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(G);M15332:672-1406;ErmG;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(Q);L22689:262-1035;ErmQ;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(T);M64090:168-902;ErmT;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(X);M36726:296-1150;ErmX;Erm 23S ribosomal R methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)erm(Y);AB014481:556-1290;ErmY;Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
ARG-ANNOT;MLS;(MLS)lin(A);M14039:413-898;lnuA;lincosamide nucleotidyltransferase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)lnu((B);KC688833:1-804;lnuB;lincosamide nucleotidyltransferase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)lnu(C);AY928180:1150-1644;lnuC;lincosamide nucleotidyltransferase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)lnu(D);EF452177:19-513;lnuD;lincosamide nucleotidyltransferase (LNU);;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)lnu(F);EU118119:1030-1851;lnuF;lincosamide nucleotidyltransferase (LNU);;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)lsa(B);AJ579365:4150-5628;"	lsaB";lsa-type ABC-F protein;;;antibiotic target protection
ARG-ANNOT;MLS;(MLS)mef(A);U70055:314-1531;mel;msr-type ABC-F protein;;;antibiotic target protection
ARG-ANNOT;MLS;(MLS)Mef(En2);NG_047980:101-1306;Mef(En2);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;MLS;(MLS)mph(A);DQ445270:1626-2531;"	mphA";macrolide phosphotransferase (MPH);;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)mph(B);D85892:1159-2067;mphB;macrolide phosphotransferase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)mph(C);AF167161:5665-6564;mphC;macrolide phosphotransferase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)mph(E);JF769133:8777-9661;mphE;macrolide phosphotransferase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)mph(G);NG_047998:101-985;mphG;macrolide phosphotransferase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)msr(A);AY591760:274-1740;"	msrA";msr-type ABC-F protein;;;antibiotic target protection
ARG-ANNOT;MLS;(MLS)msr(D);AF274302:2462-3925;msrD;msr-type ABC-F protein;;;antibiotic target protection
ARG-ANNOT;MLS;(MLS)msr(E);JF769133:7246-8721;msrE;msr-type ABC-F protein;;;antibiotic target protection
ARG-ANNOT;MLS;(MLS)sal(A);NG_048067_1-1626:1626;sal(A);sal-type ABC-F protein;;;antibiotic target protection
ARG-ANNOT;MLS;(MLS)vat(E);AF139725:63-707;vatE;streptogramin vat acetyltransferase;;;antibiotic inactivation
ARG-ANNOT;MLS;(MLS)vga(A)-LC;DQ823382:1-1569;vgaALC;vga-type ABC-F protein;;;antibiotic target protection
ARG-ANNOT;MLS;(MLS)vga(E);FR772051:8741-10315;vgaE;vga-type ABC-F protein;;;antibiotic target protection
ARG-ANNOT;nitroimidazole;(Ntmdz)NimB_Nitroimidazole_Gene;X71443:794-1288;nimB;nitroimidazole reductase;;;antibiotic inactivation
ARG-ANNOT;nitroimidazole;(Ntmdz)nimj_Nitroimidazole_Gene;KJ816753.1:19295-19792;nimJ;nitroimidazole reductase;;;antibiotic inactivation
ARG-ANNOT;nucleoside;(AGly)sat-2A;X51546:518-1042;SAT-2;streptothricin acetyltransferase (SAT);;;antibiotic inactivation
ARG-ANNOT;nucleoside;(AGly)sat4A;X92945:38870-39412;SAT-4;streptothricin acetyltransferase (SAT);;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)cat-pC223;AY355285:1000-1647;"	Efac_ACT_CHL";chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)catA1;V00622:244-903;catA1;chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)catA8;NC_009751:21916-22563;"	catA8";chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)catA9;K01998:288-938;"	Lreu_cat-TC";chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)catB11;NG_050948:101-733;catB11;chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)catB2;AF047479:5957-6589;catB2;chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)catP;U15027:2953-3576;catP;chloramphenicol acetyltransferase;;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)catS;X74948:1-492;"	catS";chloramphenicol acetyltransferase (CAT);;;antibiotic inactivation
ARG-ANNOT;phenicol;(Phe)cmlA1;M64556:601-1860;cmlA1;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;phenicol;(Phe)cmlB1;NG_036292:776-2041;cmlB1;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;phenicol;(Phe)cmxA;AF024666:15877-17052;cmx;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;phenicol;(Phe)floR;AKLJ01000508:383-1597;floR;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;phosphonic acid antibiotic;(Fcyn)FosA5;KP143090:1200-1619;fosA5;fosfomycin thiol transferase;;;antibiotic inactivation
ARG-ANNOT;phosphonic acid antibiotic;(Fcyn)FosA6;KU254579:59422-59841;"	FosA6";fosfomycin thiol transferase;;;antibiotic inactivation
ARG-ANNOT;phosphonic acid antibiotic;(Fcyn)FosD;AB304512:17043-17462;FosD;fosfomycin thiol transferase;;;antibiotic inactivation
ARG-ANNOT;phosphonic acid antibiotic;(Fcyn)fosE;NG_051850:101-457;FosE;fosfomycin thiol transferase;;;antibiotic inactivation
ARG-ANNOT;phosphonic acid antibiotic;(Fcyn)FosK;AB917040:737-1135;FosK;fosfomycin thiol transferase;;;antibiotic inactivation
ARG-ANNOT;tetracycline;(MLS)mef(C);NG_047979:101-1324;mef(C);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic inactivation
ARG-ANNOT;tetracycline;(Tet)tet(31);AJ250203:1651-2883;tet(31);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tet(32);DQ647324:181-2100;tet(32);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)tet(33);AJ420072:22940-24163;tet(33);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tet(36);AJ514254:2534-4456;tet(36);tetracycline-resistant ribosomal protection protein;;;antibiotic target alteration
ARG-ANNOT;tetracycline;(Tet)tet(39);AY743590:749-1936;tet(39);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tet(40);AM419751:14211-15431;tet(40);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tet(44);FN594949:25245-27167;tet(44);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)Tet(57);NG_056039:1-1197;tet(57);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tet(H);NG_048195:101-1303;tet(H);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetA;JX424423:94438-95712;tet(A);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetA-P;L20800:1063-2325;tetA(P);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetB;AB089594:1-1206;tet(B);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetB-P;L20800:2309-4267;tetB(P);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)tetC;EU751612:1-1191;"	tet(C)";major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetE;DQ366299:36-1253;tetE;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetG;AF133140:757-1932;tet(G);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetK;M16217:305-1684;tet(K);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetL;FN435329:1-1377;tet(L);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetM;DQ534550:1451-3370;tet(M);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)tetO;M18896:207-2126;tet(O/M/O);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)tetQ;Z21523:362-2287;tet(Q);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)tetR;HF545434:53576-54226;tetR;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
ARG-ANNOT;tetracycline;(Tet)tetR(G);S52438:113-745;tetR;major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
